Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
01/03/2022 13:00,0,0,0,0,0
01/03/2022 14:00,0,0,0,0,0
01/03/2022 15:00,0,0,0,0,0
01/03/2022 16:00,0,0,0,0,0
01/04/2022 06:00,408,1122,964,895,1093
01/04/2022 07:00,525,1221,1261,1080,1254
01/04/2022 08:00,656,1355,1298,1061,1241
01/04/2022 09:00,403,1131,1222,1073,1263
01/04/2022 10:00,431,909,1078,1014,1139
01/04/2022 11:00,363,1038,1310,1178,1359
01/04/2022 12:00,439,1131,1321,1123,1383
01/04/2022 13:00,476,1297,1406,1214,1469
01/04/2022 14:00,541,1430,1355,1265,1552
01/04/2022 15:00,649,1616,1440,1299,1590
01/04/2022 16:00,529,1320,1181,1156,1315
01/04/2022 17:00,719,1433,1382,1248,1441
01/04/2022 18:00,518,1083,1103,1064,1277
01/04/2022 19:00,347,710,879,820,991
01/04/2022 20:00,207,589,686,679,748
01/04/2022 21:00,124,469,555,529,634
01/04/2022 22:00,37,337,400,436,488
01/04/2022 23:00,34,222,309,342,390
01/05/2022 00:00,52,128,228,288,281
01/05/2022 01:00,23,69,175,195,211
01/05/2022 02:00,37,92,223,240,223
01/05/2022 03:00,81,164,252,278,301
01/05/2022 04:00,61,472,489,474,530
01/05/2022 05:00,251,1012,785,774,1025
01/05/2022 06:00,540,1247,975,965,1155
01/05/2022 07:00,594,1398,1082,1061,1323
01/05/2022 08:00,650,1370,1299,1133,1398
01/05/2022 09:00,488,1105,1231,1129,1375
01/05/2022 10:00,463,1033,1154,1064,1245
01/05/2022 11:00,316,689,813,781,915
01/05/2022 12:00,491,1138,1313,1201,1421
01/05/2022 13:00,558,1273,1333,1212,1476
01/05/2022 14:00,660,1420,1369,1216,1498
01/05/2022 15:00,656,1575,1404,1331,1591
01/05/2022 16:00,622,1610,1436,1301,1564
01/05/2022 17:00,721,1534,1497,1285,1553
01/05/2022 18:00,470,998,1111,1065,1229
01/05/2022 19:00,217,733,908,846,1020
01/05/2022 20:00,133,608,735,654,746
01/05/2022 21:00,115,437,547,504,604
01/05/2022 22:00,113,354,463,467,527
01/05/2022 23:00,58,247,300,348,422
01/06/2022 00:00,8,139,264,258,294
01/06/2022 01:00,24,90,183,213,204
01/06/2022 02:00,50,97,239,217,227
01/06/2022 03:00,64,160,252,284,292
01/06/2022 04:00,6,462,504,477,562
01/06/2022 05:00,194,1013,828,793,1006
01/06/2022 06:00,390,884,725,711,855
01/06/2022 07:00,603,1458,1237,1129,1349
01/06/2022 08:00,557,1264,1203,1070,1228
01/06/2022 09:00,451,1108,1131,1065,1249
01/06/2022 10:00,452,1041,1258,1154,1332
01/06/2022 11:00,416,1100,1310,1202,1410
01/06/2022 12:00,533,1228,1367,1227,1446
01/06/2022 13:00,510,1199,1361,1180,1415
01/06/2022 14:00,581,1325,1406,1251,1441
01/06/2022 15:00,704,1518,1481,1285,1528
01/06/2022 16:00,630,1520,1488,1295,1536
01/06/2022 17:00,760,1562,1487,1287,1531
01/06/2022 18:00,489,957,1023,987,1151
01/06/2022 19:00,192,681,876,831,977
01/06/2022 20:00,307,608,678,657,778
01/06/2022 21:00,99,471,573,558,648
01/06/2022 22:00,170,394,432,457,563
01/06/2022 23:00,60,226,344,343,434
01/07/2022 00:00,42,124,230,273,279
01/07/2022 01:00,30,72,204,228,233
01/07/2022 02:00,43,91,216,205,222
01/07/2022 03:00,54,143,257,262,288
01/07/2022 04:00,34,404,485,431,516
01/07/2022 05:00,279,904,763,741,956
01/07/2022 06:00,410,1093,1002,875,1119
01/07/2022 07:00,614,1337,1152,1063,1279
01/07/2022 08:00,621,1314,1251,1097,1355
01/07/2022 09:00,420,1147,1167,1043,1245
01/07/2022 10:00,475,1150,1224,1127,1363
01/07/2022 11:00,466,1069,1228,1102,1295
01/07/2022 12:00,605,1278,1378,1218,1494
01/07/2022 13:00,597,1320,1336,1302,1439
01/07/2022 14:00,579,1433,1519,1288,1576
01/07/2022 15:00,611,1583,1435,1399,1578
01/07/2022 16:00,637,1509,1396,1320,1538
01/07/2022 17:00,656,1434,1455,1315,1500
01/07/2022 18:00,480,1101,1237,1180,1350
01/07/2022 19:00,200,734,942,896,1047
01/07/2022 20:00,201,628,726,726,828
01/07/2022 21:00,179,571,674,604,753
01/07/2022 22:00,251,497,521,557,676
01/07/2022 23:00,57,239,286,272,352
01/08/2022 00:00,34,189,282,307,366
01/08/2022 01:00,59,132,180,244,308
01/08/2022 02:00,62,124,218,245,281
01/08/2022 03:00,23,66,206,268,195
01/08/2022 04:00,2,169,278,265,297
01/08/2022 05:00,72,254,390,319,378
01/08/2022 06:00,121,373,545,489,516
01/08/2022 07:00,188,503,713,636,693
01/08/2022 08:00,229,655,821,850,876
01/08/2022 09:00,206,879,945,929,1080
01/08/2022 10:00,449,1086,1154,1150,1258
01/08/2022 11:00,477,1248,1228,1195,1343
01/08/2022 12:00,609,1423,1359,1340,1467
01/08/2022 13:00,588,1471,1429,1382,1506
01/08/2022 14:00,624,1403,1358,1351,1410
01/08/2022 15:00,544,1437,1334,1303,1494
01/08/2022 16:00,603,1466,1309,1331,1434
01/08/2022 17:00,603,1389,1344,1213,1295
01/08/2022 18:00,510,1214,1055,1033,1181
01/08/2022 19:00,194,949,861,905,1055
01/08/2022 20:00,292,762,680,833,925
01/08/2022 21:00,258,757,965,966,973
01/08/2022 22:00,233,626,777,851,836
01/08/2022 23:00,131,371,461,440,575
01/09/2022 00:00,121,209,262,298,367
01/09/2022 01:00,49,80,123,173,185
01/09/2022 02:00,31,100,198,214,249
01/09/2022 03:00,23,70,135,194,202
01/09/2022 04:00,44,83,206,194,218
01/09/2022 05:00,64,150,304,235,272
01/09/2022 06:00,56,146,321,299,316
01/09/2022 07:00,116,275,509,410,428
01/09/2022 08:00,83,386,645,574,615
01/09/2022 09:00,50,690,773,777,887
01/09/2022 10:00,268,878,934,960,1050
01/09/2022 11:00,366,1114,1161,1157,1246
01/09/2022 12:00,456,1249,1303,1197,1352
01/09/2022 13:00,492,1311,1299,1263,1370
01/09/2022 14:00,473,1294,1237,1185,1297
01/09/2022 15:00,502,1298,1301,1279,1392
01/09/2022 16:00,482,1318,1241,1177,1311
01/09/2022 17:00,495,1034,1042,935,991
01/09/2022 18:00,368,940,913,832,989
01/09/2022 19:00,136,813,834,782,935
01/09/2022 20:00,243,870,746,770,993
01/09/2022 21:00,283,711,618,651,835
01/09/2022 22:00,124,444,460,547,638
01/09/2022 23:00,75,223,292,357,406
01/10/2022 00:00,24,123,205,238,265
01/10/2022 01:00,21,74,144,188,199
01/10/2022 02:00,25,71,163,180,179
01/10/2022 03:00,19,167,245,260,298
