Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,
0,01/01/2022 00:00,424031,4,580,E,ML,0.395,0,0,1307,0.0431,52.5,0,0.1,0.6,1.1,1.6,2.1,160,0.0088,71.8,232,0.0155,69,915,0.105,44.9
1,01/01/2022 01:00,424031,4,580,E,ML,0.395,0,0,873,0.0451,48.5,0,0.1,0.7,1.3,1.7,2.1,100,0.0054,71.8,156,0.0113,69.2,617,0.1185,39.7
2,01/01/2022 02:00,424031,4,580,E,ML,0.395,0,0,883,0.0501,45.5,0,0.4,1.1,1.7,2.2,2.6,81,0.0047,71.7,136,0.0114,68.9,666,0.1343,37.7
3,01/01/2022 03:00,424031,4,580,E,ML,0.395,0,0,483,0.0415,49.6,0,0.2,0.5,0.8,1,1.2,68,0.0037,71.9,118,0.0097,69.1,297,0.1111,37.4
4,01/01/2022 04:00,424031,4,580,E,ML,0.395,0,0,1041,0.0609,53.3,0,0,0.2,0.4,0.9,1.4,126,0.0072,71.8,152,0.0124,68.7,763,0.163,47.1
5,01/01/2022 05:00,424031,4,580,E,ML,0.395,0,0,918,0.077,53.1,0,0.1,0.5,1,1.3,1.6,175,0.0099,71.5,223,0.0152,68.6,520,0.2057,40.6
6,01/01/2022 06:00,424031,4,580,E,ML,0.395,0,0,1222,0.1687,46.5,4,4.8,5.4,5.9,6.3,6.7,317,0.0176,70.6,328,0.0225,67.8,577,0.4661,21.7
7,01/01/2022 07:00,424031,4,580,E,ML,0.395,0,0,1199,0.0927,55.8,3.8,4.2,4.5,4.7,4.9,5.1,469,0.0258,70.2,445,0.0296,67.6,285,0.2229,16.2
8,01/01/2022 08:00,424031,4,580,E,ML,0.395,0,0,1517,0.0723,56.8,4.9,5.4,5.7,6,6.2,6.4,637,0.0354,69.7,563,0.0372,67.3,317,0.1441,14.7
9,01/01/2022 09:00,424031,4,580,E,ML,0.395,0,0,2460,0.0806,51.2,4.5,5.7,6.7,7.5,8.1,8.6,859,0.0483,70.6,717,0.0487,63.8,884,0.1448,24.2
10,01/01/2022 10:00,424031,4,580,E,ML,0.395,0,0,2194,0.0564,61.6,0,0.1,0.3,0.7,1,1.3,951,0.0535,66.2,796,0.0503,67,447,0.0656,41.8
11,01/01/2022 11:00,424031,4,580,E,ML,0.395,0,0,2527,0.0551,63.5,0,0,0,0,0.1,0.3,1067,0.0611,65.1,886,0.0574,65.9,574,0.0468,56.3
12,01/01/2022 12:00,424031,4,580,E,ML,0.395,0,0,2266,0.0469,65.1,0,0,0,0,0,0,1072,0.0619,65,930,0.0585,66.5,264,0.0203,60.3
13,01/01/2022 13:00,424031,4,580,E,ML,0.395,0,0,2397,0.048,66.3,0,0,0,0,0,0,1143,0.064,66.4,979,0.0614,67.3,275,0.0186,62
14,01/01/2022 14:00,424031,4,580,E,ML,0.395,0,0,2595,0.0515,66.8,0,0,0,0,0,0,1082,0.0595,67.1,1035,0.0629,68.5,478,0.032,62.8
15,01/01/2022 15:00,424031,4,580,E,ML,0.395,0,0,3104,0.0629,66,0,0,0,0,0,0,1260,0.0707,66.2,1161,0.0709,68.5,683,0.0471,61.5
16,01/01/2022 16:00,424031,4,580,E,ML,0.395,0,0,3285,0.069,63.6,0,0,0,0,0,0.3,1313,0.0758,64.6,1206,0.076,66.9,766,0.0553,56.8
17,01/01/2022 17:00,424031,4,580,E,ML,0.395,0,0,3363,0.0757,59.9,0,0,0,0,0.2,0.7,1291,0.0794,60.6,1241,0.0826,63.7,831,0.065,53.2
18,01/01/2022 18:00,424031,4,580,E,ML,0.395,0,0,2645,0.0589,61.5,0,0,0,0,0.1,0.4,1046,0.0619,62.3,1007,0.0655,64.8,592,0.0492,54.3
19,01/01/2022 19:00,424031,4,580,E,ML,0.395,0,0,2538,0.0568,65.8,0,0,0,0,0,0.1,811,0.0464,69.1,765,0.0481,69,962,0.0758,60.5
20,01/01/2022 20:00,424031,4,580,E,ML,0.395,0,0,1869,0.0453,64.7,0,0,0.1,0.3,0.5,0.8,713,0.0406,70.8,730,0.0457,68.5,426,0.0496,47.2
21,01/01/2022 21:00,424031,4,580,E,ML,0.395,0,0,1639,0.0447,60.2,0.6,1.1,1.5,1.8,2,2.2,617,0.0351,70.1,667,0.0421,67.2,355,0.0569,30.6
22,01/01/2022 22:00,424031,4,580,E,ML,0.395,0,0,1856,0.0704,50.4,4,5.1,5.9,6.6,7.1,7.6,517,0.0292,70.3,576,0.0352,68.5,763,0.1467,23.9
23,01/01/2022 23:00,424031,4,580,E,ML,0.395,0,0,2221,0.1233,36.4,11,13.2,14.8,16.2,17.2,18.1,293,0.0159,71.5,418,0.0268,68.6,1510,0.3272,21.2
24,01/02/2022 00:00,424031,4,580,E,ML,0.395,0,0,1407,0.0677,36.6,6.4,7.7,8.8,9.6,10.3,10.9,161,0.0087,71.8,284,0.0177,68.9,962,0.1766,22.1
25,01/02/2022 01:00,424031,4,580,E,ML,0.395,0,0,822,0.0273,47.5,0.6,1.1,1.4,1.8,2.1,2.4,101,0.0058,71.7,198,0.0127,68.9,523,0.0634,35.1
26,01/02/2022 02:00,424031,4,580,E,ML,0.395,0,0,747,0.0286,50.6,0,0.3,0.5,0.8,1.1,1.5,66,0.0034,71.9,164,0.0109,69.1,517,0.0716,42
27,01/02/2022 03:00,424031,4,580,E,ML,0.395,0,0,592,0.0255,47.6,0,0.3,0.7,1.1,1.3,1.6,52,0.0029,71.8,143,0.0101,69.3,397,0.0635,37.3
28,01/02/2022 04:00,424031,4,580,E,ML,0.395,0,0,,0.07,45.5,0,0.2,1,1.8,2.5,3.1,64,0.0035,71.8,146,0.0099,69.1,948,0.1964,40.2
29,01/02/2022 05:00,424031,4,580,E,ML,0.395,0,0,2000,0.1288,44.4,0.1,0.6,2.2,3.7,4.9,5.9,121,0.0063,71.9,229,0.0146,68.8,1650,0.3655,39
30,01/02/2022 06:00,424031,4,580,E,ML,0.395,0,0,2148,0.1711,30.8,14.9,17.3,19.1,20.6,21.8,22.8,182,0.0101,71.6,281,0.0185,68.1,1685,0.4847,19.6
31,01/02/2022 07:00,424031,4,580,E,ML,0.395,0,0,1711,0.1238,35.2,13.7,15.2,16.4,17.4,18.2,18.8,272,0.0146,71.5,352,0.0236,67.4,1087,0.3331,16.5
32,01/02/2022 08:00,424031,4,580,E,ML,0.395,0,0,1777,0.2313,38.4,19.3,20.5,21.5,22.2,22.8,23.3,423,0.0229,71.2,500,0.0323,68.5,854,0.6387,11.6
33,01/02/2022 09:00,424031,4,580,E,ML,0.395,0,0,1746,0.0837,58.2,3.7,4.2,4.6,4.9,5.2,5.4,691,0.0382,70.9,693,0.0447,67.9,362,0.1682,18.4
34,01/02/2022 10:00,424031,4,580,E,ML,0.395,0,0,2284,0.0588,57.7,1.3,2,2.5,3,3.3,3.6,939,0.0544,66.1,852,0.0549,65.2,493,0.0671,28.4
35,01/02/2022 11:00,424031,4,580,E,ML,0.395,0,0,,0.0652,60.8,0,0.2,0.5,0.9,1.2,1.6,1110,0.0635,66.6,994,0.0642,65.6,781,0.0678,45.9
36,01/02/2022 12:00,424031,4,580,E,ML,0.395,0,0,2419,0.0492,65.7,0,0,0,0,0,0,1143,0.0648,66.8,1031,0.0658,65.4,245,0.0171,61.7
37,01/02/2022 13:00,424031,4,580,E,ML,0.395,0,0,2405,0.0499,65.8,0,0,0,0,0,0,1126,0.065,66.6,1024,0.0652,66.2,255,0.0196,60.6
38,01/02/2022 14:00,424031,4,580,E,ML,0.395,0,0,2812,0.0606,63.6,0,0,0,0,0.1,0.5,1065,0.0614,66.5,1036,0.0657,66.7,711,0.0547,54.6
39,01/02/2022 15:00,424031,4,580,E,ML,0.395,0,0,3072,0.0715,63.3,0,0,0,0.1,0.2,0.5,1017,0.0584,66.3,1052,0.0653,66.8,1003,0.0909,56.2
40,01/02/2022 16:00,424031,4,580,E,ML,0.395,0,0,2816,0.0619,62.7,0,0,0,0,0.2,0.5,1042,0.0617,65.2,1066,0.0703,65.6,708,0.0536,54.3
41,01/02/2022 17:00,424031,4,580,E,ML,0.395,0,0,3381,0.0839,60.7,0,0,0,0.1,0.2,0.6,940,0.0582,64.3,977,0.0673,62.5,1464,0.1262,56.9
42,01/02/2022 18:00,424031,4,580,E,ML,0.395,0,0,2229,0.056,58.5,0.1,0.4,0.9,1.4,1.8,2.1,806,0.0489,67.6,856,0.0573,62.9,567,0.062,38.4
43,01/02/2022 19:00,424031,4,580,E,ML,0.395,0,0,2350,0.0553,49.3,6.2,7.5,8.6,9.4,10.1,10.7,676,0.0395,69.7,706,0.0455,67,968,0.0808,22.4
44,01/02/2022 20:00,424031,4,580,E,ML,0.395,0,0,2243,0.0791,45.8,8.2,9.6,10.8,11.7,12.5,13.1,568,0.0328,69.3,624,0.0403,67.3,1051,0.1643,20.7
45,01/02/2022 21:00,424031,4,580,E,ML,0.395,0,0,1833,0.078,47.8,4.6,5.8,6.7,7.4,8,8.5,459,0.0262,70.4,541,0.0354,67.6,833,0.1723,23.5
46,01/02/2022 22:00,424031,4,580,E,ML,0.395,0,0,1231,0.0482,48.6,2.3,3.1,3.7,4.1,4.5,4.8,302,0.0171,70.7,392,0.0263,67.6,537,0.1012,25.3
47,01/02/2022 23:00,424031,4,580,E,ML,0.395,0,0,1250,0.0492,41,2.2,3.4,4.3,5.1,5.7,6.2,142,0.0081,71.8,255,0.0166,68.5,853,0.1228,28.5
48,01/03/2022 00:00,424031,4,580,E,ML,0.395,0,0,848,0.0337,47.6,0.1,0.5,1,1.5,1.9,2.2,78,0.0045,71.9,175,0.0141,69.2,595,0.0825,38.3
49,01/03/2022 01:00,424031,4,580,E,ML,0.395,0,0,885,0.0345,41.2,0.2,1,1.8,2.4,2.9,3.4,37,0.0022,71.6,119,0.0092,69.7,729,0.0921,35.2
