,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
0,01/03/2022 13:00,0,0.0,0,0,0
1,01/03/2022 14:00,0,0.0,0,0,0
2,01/03/2022 15:00,0,0.0,0,0,0
3,01/03/2022 16:00,0,0.0,0,0,0
4,01/04/2022 06:00,408,1122.0,964,895,1093
5,01/04/2022 07:00,525,1221.0,1261,1080,1254
6,01/04/2022 08:00,656,1355.0,1298,1061,1241
7,01/04/2022 09:00,403,1131.0,1222,1073,1263
8,01/04/2022 10:00,431,909.0,1078,1014,1139
9,01/04/2022 11:00,363,1038.0,1310,1178,1359
10,01/04/2022 12:00,439,1131.0,1321,1123,1383
11,01/04/2022 13:00,476,1297.0,1406,1214,1469
12,01/04/2022 14:00,541,1430.0,1355,1265,1552
13,01/04/2022 15:00,649,1616.0,1440,1299,1590
14,01/04/2022 16:00,529,1320.0,1181,1156,1315
15,01/04/2022 17:00,719,,1382,1248,1441
16,01/04/2022 18:00,518,1083.0,1103,1064,1277
17,01/04/2022 19:00,347,710.0,879,820,991
18,01/04/2022 20:00,207,589.0,686,679,748
19,01/04/2022 21:00,124,469.0,555,529,634
20,01/04/2022 22:00,37,,400,436,488
21,01/04/2022 23:00,34,222.0,309,342,390
22,01/05/2022 00:00,52,128.0,228,288,281
23,01/05/2022 01:00,23,69.0,175,195,211
24,01/05/2022 02:00,37,92.0,223,240,223
25,01/05/2022 03:00,81,164.0,252,278,301
26,01/05/2022 04:00,61,472.0,489,474,530
27,01/05/2022 05:00,251,1012.0,785,774,1025
28,01/05/2022 06:00,540,1247.0,975,965,1155
29,01/05/2022 07:00,594,1398.0,1082,1061,1323
30,01/05/2022 08:00,650,1370.0,1299,1133,1398
31,01/05/2022 09:00,488,1105.0,1231,1129,1375
32,01/05/2022 10:00,463,1033.0,1154,1064,1245
33,01/05/2022 11:00,316,689.0,813,781,915
34,01/05/2022 12:00,491,1138.0,1313,1201,1421
35,01/05/2022 13:00,558,1273.0,1333,1212,1476
36,01/05/2022 14:00,660,1420.0,1369,1216,1498
37,01/05/2022 15:00,656,1575.0,1404,1331,1591
38,01/05/2022 16:00,622,1610.0,1436,1301,1564
39,01/05/2022 17:00,721,,1497,1285,1553
40,01/05/2022 18:00,470,998.0,1111,1065,1229
41,01/05/2022 19:00,217,733.0,908,846,1020
42,01/05/2022 20:00,133,608.0,735,654,746
43,01/05/2022 21:00,115,437.0,547,504,604
44,01/05/2022 22:00,113,354.0,463,467,527
45,01/05/2022 23:00,58,247.0,300,348,422
46,01/06/2022 00:00,8,139.0,264,258,294
47,01/06/2022 01:00,24,90.0,183,213,204
48,01/06/2022 02:00,50,97.0,239,217,227
49,01/06/2022 03:00,64,160.0,252,284,292
50,01/06/2022 04:00,6,462.0,504,477,562
51,01/06/2022 05:00,194,1013.0,828,793,1006
52,01/06/2022 06:00,390,884.0,725,711,855
53,01/06/2022 07:00,603,1458.0,1237,1129,1349
