Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
01/01/2019,12:54 AM,10,2,70%,NNW,21mph,0mph,29.07in,0.0in,Cloudy / Windy,
01/01/2019,1:54 AM,9,0,67%,N,22mph,0mph,29.09in,0.0in,Cloudy / Windy,1:00 AM
01/01/2019,2:54 AM,7,-2,67%,N,20mph,29mph,29.12in,0.0in,Cloudy,1:00 AM
01/01/2019,3:54 AM,7,-2,67%,N,15mph,0mph,29.15in,0.0in,Cloudy,1:00 AM
01/01/2019,4:54 AM,6,-3,67%,NNW,18mph,0mph,29.15in,0.0in,Cloudy,1:00 AM
01/01/2019,5:54 AM,5,-4,66%,N,18mph,0mph,29.16in,0.0in,Cloudy,1:00 AM
01/01/2019,6:54 AM,5,-4,66%,N,21mph,0mph,29.17in,0.0in,Cloudy / Windy,1:00 AM
01/01/2019,7:54 AM,5,-5,63%,N,15mph,0mph,29.19in,0.0in,Cloudy,1:00 AM
01/01/2019,8:54 AM,5,-5,63%,N,14mph,0mph,29.21in,0.0in,Cloudy,1:00 AM
01/01/2019,9:54 AM,6,-4,63%,N,13mph,0mph,29.23in,0.0in,Cloudy,1:00 AM
01/01/2019,10:54 AM,6,-4,63%,NNW,12mph,0mph,29.22in,0.0in,Cloudy,1:00 AM
01/01/2019,11:54 AM,7,-2,67%,N,10mph,0mph,29.18in,0.0in,Cloudy,1:00 AM
01/01/2019,12:54 PM,10,0,64%,N,10mph,0mph,29.15in,0.0in,Cloudy,1:00 AM
01/01/2019,1:54 PM,12,2,64%,NNW,5mph,0mph,29.14in,0.0in,Cloudy,1:00 AM
01/01/2019,2:54 PM,14,4,64%,N,6mph,0mph,29.11in,0.0in,Cloudy,1:00 AM
01/01/2019,3:54 PM,15,3,59%,VAR,3mph,0mph,29.12in,0.0in,Cloudy,1:00 AM
01/01/2019,4:54 PM,14,3,62%,N,5mph,0mph,29.11in,0.0in,Cloudy,1:00 AM
01/01/2019,5:54 PM,14,3,62%,CALM,0mph,0mph,29.10in,0.0in,Cloudy,1:00 AM
01/01/2019,6:54 PM,14,2,59%,NNW,3mph,0mph,29.09in,0.0in,Cloudy,1:00 AM
01/01/2019,7:54 PM,13,4,67%,N,3mph,0mph,29.07in,0.0in,Cloudy,1:00 AM
01/01/2019,8:54 PM,14,4,64%,CALM,0mph,0mph,29.06in,0.0in,Cloudy,1:00 AM
01/01/2019,9:54 PM,14,4,64%,WSW,5mph,0mph,29.04in,0.0in,Cloudy,1:00 AM
01/01/2019,10:54 PM,16,6,65%,SSW,9mph,0mph,29.02in,0.0in,Cloudy,1:00 AM
